"","out_loc","survivors_b","0-25","25-50","50-75","75-100","100-125","125-150","150-175"
"1","Crabtree Creek","0-50",70646,0,0,0,0,0,0
"2","Crabtree Creek","50-100",64581,0,0,0,0,0,0
"3","Crabtree Creek","100-150",28817,0,0,0,0,0,0
"4","Crabtree Creek","150-200",2593,1,0,0,0,0,0
"5","Crabtree Creek","200-250",1,0,0,0,0,0,0
"6","MF Paddy's","0-50",70598,0,0,0,0,0,0
"7","MF Paddy's","50-100",64518,0,0,0,0,0,0
"8","MF Paddy's","100-150",28462,0,0,0,0,0,0
"9","MF Paddy's","150-200",2494,35,0,0,0,0,0
"10","MF Paddy's","200-250",0,0,0,0,0,0,0
"11","Thomas Creek","0-50",70907,0,0,0,0,0,0
"12","Thomas Creek","50-100",65015,0,0,0,0,0,0
"13","Thomas Creek","100-150",28731,0,0,0,0,0,0
"14","Thomas Creek","150-200",2596,5,0,0,0,0,0
"15","Thomas Creek","200-250",0,0,0,0,0,0,0
