"","n0_a_bin","n0_j_bin","condition","0-50","50-100","100-150","150-200"
"1","0-25","0-43.75",1,1,0,0,0
"2","0-25","0-43.75",2,1,0,0,0
"3","0-25","0-43.75",3,0.992700729927007,0.0072992700729927,0,0
"4","0-25","43.75-87.5",1,1,0,0,0
"5","0-25","43.75-87.5",2,1,0,0,0
"6","0-25","43.75-87.5",3,0.989926447073873,0.0100735529261273,0,0
"7","0-25","87.5-131.25",1,1,0,0,0
"8","0-25","87.5-131.25",2,1,0,0,0
"9","0-25","87.5-131.25",3,0.991676004482151,0.00832399551784857,0,0
"10","0-25","131.25-175",1,1,0,0,0
"11","0-25","131.25-175",2,1,0,0,0
"12","0-25","131.25-175",3,0.992117294655526,0.00788270534447422,0,0
"13","25-50","0-43.75",1,0.996918335901387,0.00308166409861325,0,0
"14","25-50","0-43.75",2,0.98348106365834,0.01651893634166,0,0
"15","25-50","0-43.75",3,0.711086226203807,0.288913773796193,0,0
"16","25-50","43.75-87.5",1,0.997872688594338,0.00212731140566192,0,0
"17","25-50","43.75-87.5",2,0.984453441295547,0.0155465587044534,0,0
"18","25-50","43.75-87.5",3,0.714944042132982,0.285055957867018,0,0
"19","25-50","87.5-131.25",1,0.999032726100274,0.000967273899725939,0,0
"20","25-50","87.5-131.25",2,0.980999180999181,0.019000819000819,0,0
"21","25-50","87.5-131.25",3,0.703014753046825,0.296985246953175,0,0
"22","25-50","131.25-175",1,0.998128933492091,0.00187106650790951,0,0
"23","25-50","131.25-175",2,0.984475639966969,0.0155243600330306,0,0
"24","25-50","131.25-175",3,0.718464351005484,0.281535648994516,0,0
"25","50-75","0-43.75",1,0.794117647058823,0.205882352941176,0,0
"26","50-75","0-43.75",2,0.62904498816101,0.37095501183899,0,0
"27","50-75","0-43.75",3,0.193447737909516,0.806552262090484,0,0
"28","50-75","43.75-87.5",1,0.797642762284197,0.202357237715803,0,0
"29","50-75","43.75-87.5",2,0.634186622625929,0.365813377374071,0,0
"30","50-75","43.75-87.5",3,0.199345870809485,0.800654129190515,0,0
"31","50-75","87.5-131.25",1,0.784810126582278,0.215189873417722,0,0
"32","50-75","87.5-131.25",2,0.632421614409606,0.367578385590394,0,0
"33","50-75","87.5-131.25",3,0.195517015706806,0.804482984293194,0,0
"34","50-75","131.25-175",1,0.790567951318458,0.209432048681542,0,0
"35","50-75","131.25-175",2,0.624799229039512,0.375200770960488,0,0
"36","50-75","131.25-175",3,0.201648166834847,0.798351833165153,0,0
"37","75-100","0-43.75",1,0.161664665866347,0.838335334133653,0,0
"38","75-100","0-43.75",2,0.0789269051321928,0.921073094867807,0,0
"39","75-100","0-43.75",3,0.00235478806907378,0.969387755102041,0.0282574568288854,0
"40","75-100","43.75-87.5",1,0.160968427940455,0.839031572059545,0,0
"41","75-100","43.75-87.5",2,0.0836400133824021,0.916359986617598,0,0
"42","75-100","43.75-87.5",3,0.00195439739413681,0.968403908794788,0.0296416938110749,0
"43","75-100","87.5-131.25",1,0.156455696202532,0.843544303797468,0,0
"44","75-100","87.5-131.25",2,0.078259430840503,0.921740569159497,0,0
"45","75-100","87.5-131.25",3,0.00184718723761545,0.96624685138539,0.0319059613769941,0
"46","75-100","131.25-175",1,0.156385000864006,0.843614999135994,0,0
"47","75-100","131.25-175",2,0.0830911266883228,0.916908873311677,0,0
"48","75-100","131.25-175",3,0.00267827251422832,0.966354201540007,0.030967525945765,0
