"n_fish_b","survival_b","0-50","50-100","100-150","150-200","200-250"
"0-50","0.2-0.3",7559,0,0,0,0
"0-50","0.3-0.4",28893,0,0,0,0
"0-50","0.4-0.5",31469,0,0,0,0
"0-50","0.5-0.6",14297,0,0,0,0
"0-50","0.6-0.7",875,0,0,0,0
"50-100","0.2-0.3",7796,0,0,0,0
"50-100","0.3-0.4",28740,6,0,0,0
"50-100","0.4-0.5",31099,591,0,0,0
"50-100","0.5-0.6",12104,2242,0,0,0
"50-100","0.6-0.7",582,342,0,0,0
"100-150","0.2-0.3",7673,94,0,0,0
"100-150","0.3-0.4",22031,6801,0,0,0
"100-150","0.4-0.5",9439,22541,0,0,0
"100-150","0.5-0.6",535,14015,3,0,0
"100-150","0.6-0.7",1,858,6,0,0
"150-200","0.2-0.3",4720,2915,0,0,0
"150-200","0.3-0.4",2956,25766,0,0,0
"150-200","0.4-0.5",36,31150,539,0,0
"150-200","0.5-0.6",0,10241,4386,0,0
"150-200","0.6-0.7",0,305,630,0,0
"200-250","0.2-0.3",721,7034,0,0,0
"200-250","0.3-0.4",39,28107,907,0,0
"200-250","0.4-0.5",0,16028,15257,0,0
"200-250","0.5-0.6",0,585,13889,157,0
"200-250","0.6-0.7",0,1,786,115,0
"250-300","0.2-0.3",21,7622,44,0,0
"250-300","0.3-0.4",0,16720,11501,0,0
"250-300","0.4-0.5",0,1197,29420,570,0
"250-300","0.5-0.6",0,0,8158,6008,1
"250-300","0.6-0.7",0,0,64,812,0
